network,country_name,country_name
185.12.24.0/22,Asia,Iraq
185.14.248.0/22,Asia,Iraq
185.16.24.0/22,Asia,Iraq
185.20.24.0/22,Asia,Iraq
185.21.136.0/22,Asia,Iraq
185.23.152.0/22,Asia,Iraq
185.27.216.0/22,Asia,Iraq
185.32.148.0/22,Asia,Iraq
185.33.44.0/22,Asia,Iraq
185.34.16.0/22,Asia,Iraq
185.37.88.0/22,Asia,Iraq
185.37.160.0/22,Asia,Iraq
185.38.212.0/22,Asia,Iraq
185.39.76.0/22,Asia,Iraq
185.42.192.0/22,Asia,Iraq
185.47.180.0/22,Asia,Iraq
185.51.220.0/22,Asia,Iraq
185.52.100.0/22,Asia,Iraq
185.52.116.0/22,Asia,Iraq
185.54.156.0/22,Asia,Iraq
185.54.164.0/22,Asia,Iraq
185.55.184.0/22,Asia,Iraq
185.56.192.0/22,Asia,Iraq
185.58.12.0/22,Asia,Iraq
185.65.252.0/22,Asia,Iraq
185.69.4.0/22,Asia,Iraq
185.75.96.0/22,Asia,Iraq
185.76.32.0/22,Asia,Iraq
185.80.40.0/22,Asia,Iraq
185.84.68.0/22,Asia,Iraq
185.88.24.0/22,Asia,Iraq
185.89.88.0/22,Asia,Iraq
185.89.124.0/22,Asia,Iraq
185.90.104.0/22,Asia,Iraq
185.91.16.0/22,Asia,Iraq
188.72.0.0/18,Asia,Iraq
188.114.120.0/21,Asia,Iraq
193.106.196.0/22,Asia,Iraq
194.117.56.0/21,Asia,Iraq
195.96.148.0/22,Asia,Iraq
212.126.96.0/19,Asia,Iraq
213.188.64.0/19,Asia,Iraq
217.171.181.183/32,Asia,Iraq
2.88.0.0/14,Asia,Saudi Arabia
5.23.20.0/24,Asia,Saudi Arabia
5.41.0.0/16,Asia,Saudi Arabia
5.42.224.0/19,Asia,Saudi Arabia
5.82.0.0/16,Asia,Saudi Arabia
5.108.0.0/14,Asia,Saudi Arabia
5.132.192.0/18,Asia,Saudi Arabia
5.156.0.0/16,Asia,Saudi Arabia
5.163.0.0/16,Asia,Saudi Arabia
5.244.0.0/14,Asia,Saudi Arabia
12.151.162.0/24,Asia,Saudi Arabia
23.232.248.0/24,Asia,Saudi Arabia
31.24.224.0/21,Asia,Saudi Arabia
31.166.0.0/15,Asia,Saudi Arabia
37.16.32.0/19,Asia,Saudi Arabia
37.16.128.0/17,Asia,Saudi Arabia
37.42.0.0/16,Asia,Saudi Arabia
37.43.0.0/23,Asia,Saudi Arabia
37.43.2.0/24,Asia,Saudi Arabia
37.43.4.0/22,Asia,Saudi Arabia
37.43.8.0/21,Asia,Saudi Arabia
37.43.16.0/20,Asia,Saudi Arabia
37.43.32.0/19,Asia,Saudi Arabia
37.43.64.0/18,Asia,Saudi Arabia
37.43.128.0/17,Asia,Saudi Arabia
37.56.0.0/16,Asia,Saudi Arabia
37.76.224.0/19,Asia,Saudi Arabia
37.99.128.0/18,Asia,Saudi Arabia
37.104.0.0/14,Asia,Saudi Arabia
37.121.0.0/16,Asia,Saudi Arabia
37.124.0.0/14,Asia,Saudi Arabia
37.141.0.0/16,Asia,Saudi Arabia
37.216.0.0/15,Asia,Saudi Arabia
37.224.0.0/16,Asia,Saudi Arabia
37.240.0.0/14,Asia,Saudi Arabia
46.18.160.0/21,Asia,Saudi Arabia
46.29.80.0/21,Asia,Saudi Arabia
46.36.194.221/32,Asia,Saudi Arabia
46.36.194.222/31,Asia,Saudi Arabia
46.36.194.224/30,Asia,Saudi Arabia
46.36.194.228/31,Asia,Saudi Arabia
46.36.194.230/32,Asia,Saudi Arabia
46.38.64.0/19,Asia,Saudi Arabia
46.44.64.0/18,Asia,Saudi Arabia
46.52.0.0/17,Asia,Saudi Arabia
46.151.208.0/21,Asia,Saudi Arabia
46.152.0.0/15,Asia,Saudi Arabia
46.161.58.0/25,Asia,Saudi Arabia
46.184.0.0/17,Asia,Saudi Arabia
46.230.0.0/17,Asia,Saudi Arabia
46.235.88.0/21,Asia,Saudi Arabia
46.240.0.0/17,Asia,Saudi Arabia
46.251.128.0/19,Asia,Saudi Arabia
61.28.215.0/24,Asia,Saudi Arabia
62.3.0.0/20,Asia,Saudi Arabia
62.3.16.0/21,Asia,Saudi Arabia
62.3.24.0/23,Asia,Saudi Arabia
62.3.26.0/25,Asia,Saudi Arabia
62.3.26.128/26,Asia,Saudi Arabia
62.3.26.192/30,Asia,Saudi Arabia
62.3.26.196/31,Asia,Saudi Arabia
62.3.26.199/32,Asia,Saudi Arabia
62.3.26.200/29,Asia,Saudi Arabia
62.3.26.208/28,Asia,Saudi Arabia
62.3.26.224/27,Asia,Saudi Arabia
62.3.27.0/24,Asia,Saudi Arabia
62.3.28.0/22,Asia,Saudi Arabia
62.3.32.128/27,Asia,Saudi Arabia
62.3.32.160/28,Asia,Saudi Arabia
62.3.32.176/29,Asia,Saudi Arabia
62.3.32.192/26,Asia,Saudi Arabia
62.3.33.0/24,Asia,Saudi Arabia
62.3.34.0/23,Asia,Saudi Arabia
62.3.36.0/22,Asia,Saudi Arabia
62.3.40.0/21,Asia,Saudi Arabia
62.3.48.0/20,Asia,Saudi Arabia
62.120.0.0/16,Asia,Saudi Arabia
62.149.64.0/18,Asia,Saudi Arabia
63.103.137.0/24,Asia,Saudi Arabia
64.20.40.153/32,Asia,Saudi Arabia
64.131.95.0/25,Asia,Saudi Arabia
64.214.231.0/24,Asia,Saudi Arabia
66.110.32.0/26,Asia,Saudi Arabia
66.110.32.148/30,Asia,Saudi Arabia
66.110.32.152/29,Asia,Saudi Arabia
66.110.32.160/27,Asia,Saudi Arabia
66.110.32.192/26,Asia,Saudi Arabia
66.110.35.0/24,Asia,Saudi Arabia
66.110.36.0/22,Asia,Saudi Arabia
66.178.89.0/24,Asia,Saudi Arabia
69.24.241.12/30,Asia,Saudi Arabia
69.24.241.24/30,Asia,Saudi Arabia
74.53.247.66/32,Asia,Saudi Arabia
74.53.253.130/31,Asia,Saudi Arabia
74.53.253.132/30,Asia,Saudi Arabia
74.53.253.136/29,Asia,Saudi Arabia
74.53.253.144/28,Asia,Saudi Arabia
74.53.253.160/27,Asia,Saudi Arabia
74.53.253.192/26,Asia,Saudi Arabia
74.53.254.0/25,Asia,Saudi Arabia
74.53.254.128/31,Asia,Saudi Arabia
77.30.0.0/15,Asia,Saudi Arabia
77.64.0.0/17,Asia,Saudi Arabia
77.73.192.0/21,Asia,Saudi Arabia
77.87.16.0/21,Asia,Saudi Arabia
77.95.216.0/21,Asia,Saudi Arabia
77.110.64.0/18,Asia,Saudi Arabia
77.221.96.0/19,Asia,Saudi Arabia
77.232.96.0/19,Asia,Saudi Arabia
77.232.176.0/21,Asia,Saudi Arabia
